Model,Starting Price,Year
"Jaguar F-PACE              ","$57,000",2024
"Jaguar I-PACE              ","$72,000",2024
"Hyundai Santa Cruz              ","$26,650",2024
"Honda Ridgeline              ","$38,800",2023
"Jaguar XF              ","$49,800",2024
"Volkswagen Tiguan              ","$28,505",2024
"Jaguar E-PACE              ","$49,500",2024
"Lincoln Navigator              ","$110,750",2024
"Honda Odyssey              ","$37,840",2024
"Volvo V60 Cross Country              ","$49,750",2024
"Volvo C40 Recharge Pure Electric              ","$53,600",2024
"Volvo XC40              ","$40,100",2024
"Volvo S90              ","$57,700",2024
"Volvo V60 Recharge Plug-In Hybrid              ","$71,250",2024
"Volvo XC40 Recharge Pure Electric              ","$48,250",2023
"Volvo S90 Recharge Plug-In Hybrid              ","$65,650",2024
"Toyota Venza              ","$34,920",2024
"Toyota Tundra Hybrid              ","$57,625",2024
"Toyota RAV4 Prime              ","$43,440",2024
"Toyota RAV4              ","$28,475",2024
"Toyota Grand Highlander Hybrid              ","$44,670",2024
"Toyota Highlander Hybrid              ","$40,720",2024
"Toyota Grand Highlander              ","$43,070",2024
"Toyota 4Runner              ","$40,455",2024
"Toyota RAV4 Hybrid              ","$31,475",2024
"Toyota GR Corolla              ","$36,100",2024
"Toyota Corolla Hybrid              ","$23,300",2024
"Toyota GR86              ","$28,400",2023
"Toyota Tacoma              ",Priceunavailable,2024
"Toyota Corolla Hatchback              ","$23,355",2024
"Toyota GR Supra              ","$45,540",2024
"Toyota Corolla              ","$21,900",2024
"Toyota Camry Hybrid              ","$28,855",2024
"Toyota Prius              ","$27,650",2024
"Toyota Prius Prime              ","$32,675",2024
"Volvo S60              ","$42,000",2024
"Volkswagen Atlas Cross Sport              ","$36,715",2024
"Volkswagen Golf R              ","$45,455",2024
"Volkswagen Atlas              ","$37,725",2024
"Honda Passport              ","$41,900",2024
"Volkswagen Arteon              ","$43,010",2023
"Honda Civic Si              ","$29,100",2024
"Honda CR-V Hybrid              ",Priceunavailable,2024
"Honda CR-V              ",Priceunavailable,2024
"Volkswagen Golf GTI              ","$31,765",2024
"Honda Civic              ","$23,950",2024
"Honda Accord              ","$27,895",2024
"Hyundai Tucson Plug-In Hybrid              ","$38,475",2024
"Hyundai Venue              ","$19,800",2024
"INFINITI QX50              ","$40,850",2024
"Hyundai NEXO              ","$60,135",2023
"Hyundai Santa Fe              ","$28,750",2023
"Hyundai Santa Fe Plug-In Hybrid              ","$42,410",2023
"Hyundai Kona EV              ","$33,550",2023
"Hyundai Kona              ","$24,100",2024
"Hyundai Kona N              ","$34,950",2023
"Hyundai Tucson Hybrid              ","$32,325",2024
"Hyundai Sonata              ","$25,100",2023
"Hyundai Sonata Hybrid              ","$28,100",2023
"Hyundai Elantra HEV              ","$24,550",2023
"Jaguar F-TYPE              ","$113,000",2024
"Hyundai Elantra              ","$21,475",2024
"Jeep Wagoneer L              ","$65,545",2024
"Jeep Wrangler              ","$32,095",2024
"Jeep Wrangler 4xe              ","$49,995",2024
"Jeep Grand Wagoneer              ","$111,045",2024
"Jeep Renegade              ","$27,850",2023
"Hyundai Elantra N              ","$32,900",2023
