Make,Model,Starting Price,Year
Ford,Ford Mustang,"$30,920",2024
Ford,Ford Transit-350,"$48,615",2024
Ford,Ford Transit-250,"$47,360",2024
Ford,Ford Transit-150,"$46,415",2024
Ford,Ford E-Transit,"$49,995",2024
Ford,Ford Ranger,"$32,565",2024
Ford,Ford Maverick,"$23,400",2024
Ford,Ford F-450,"$104,030",2024
Ford,Ford F-350,"$100,280",2024
Ford,Ford F-250,"$44,970",2024
Ford,Ford F-150 Lightning,"$49,995",2024
Ford,Ford F-150,"$36,570",2024
Ford,Ford Mustang Mach-E,"$43,495",2024
Ford,Ford Explorer,"$36,760",2024
Ford,Ford Expedition Max,"$58,555",2024
Ford,Ford Expedition,"$54,555",2024
Ford,Ford Escape PHEV,"$40,500",2024
Ford,Ford Escape,"$28,000",2024
Ford,Ford Edge,"$38,365",2024
Ford,Ford Bronco Sport,"$31,230",2024
Ford,Ford Bronco,"$39,130",2024
Ford,Ford Transit Connect,"$34,100",2023
Honda,Honda Accord,"$27,895",2024
Honda,Honda Odyssey,"$37,840",2024
Honda,Honda Ridgeline,"$38,800",2023
Honda,Honda Pilot,"$37,090",2024
Honda,Honda Passport,"$41,900",2024
Honda,Honda HR-V,"$24,100",2024
GMC,GMC Savana 3500,"$43,800",2024
GMC,GMC Savana 2500,"$40,700",2024
Genesis,Genesis GV80,"$57,450",2024
Genesis,Genesis GV70,"$44,900",2024
Genesis,Genesis GV60,"$52,000",2024
Genesis,Genesis Electrified GV70,"$66,450",2024
Genesis,Genesis G90,"$89,200",2024
Genesis,Genesis G80,"$54,150",2024
Genesis,Genesis G70,"$39,400",2023
Genesis,Genesis Electrified G80,"$79,825",2023
GMC,GMC Sierra 3500,"$46,200",2024
GMC,GMC Sierra 2500,"$45,400",2024
GMC,GMC Sierra 1500,"$37,700",2024
GMC,GMC HUMMER EV,Priceunavailable,2024
GMC,GMC Canyon,"$36,000",2024
GMC,GMC Yukon XL,"$61,200",2024
GMC,GMC Yukon,"$58,200",2024
GMC,GMC Terrain,"$28,700",2024
GMC,GMC HUMMER EV SUV,Priceunavailable,2024
Honda,Honda CR-V Hybrid,Priceunavailable,2024
Honda,Honda CR-V,Priceunavailable,2024
Honda,Honda Civic Type R,"$43,795",2023
Honda,Honda Civic Si,"$29,100",2024
Honda,Honda Civic,"$23,950",2024
Honda,Honda Accord Hybrid,"$32,545",2024
