Name,Price,Fuel Type,Fuel Economy,Seating Capacity,Engine,Drivetrain,Horsepower,KBB Rating,Consumer Rating,Safety Rating
2023 Acura Integra,"$32,495",Gas,City 30/Hwy 37/Comb 33 MPG,5,"4-Cyl, Turbo, 1.5 Liter",FWD,200 @ 6000 RPM,4.0,N/A,5.0
2023 Jeep Cherokee,"$39,290",Gas,City 21/Hwy 29/Comb 24 MPG,5,"4-Cyl, Zero Evap, 2.4 Liter",4WD,180 @ 6400 RPM,3.4,3.9,5.0
2023 Jaguar XF,"$48,275",Gas,City 25/Hwy 33/Comb 28 MPG,5,"4-Cyl, Turbo, 2.0 Liter",RWD,246 @ 5500 RPM,3.6,4.1,5.0
2023 Jaguar E-PACE,"$49,175",Gas,City 20/Hwy 26/Comb 23 MPG,5,"4-Cyl, Turbo, 2.0 Liter",AWD,241 @ 4500 RPM,3.9,4.4,5.0
2023 Jaguar F-TYPE,"$74,675",Gas,City 17/Hwy 24/Comb 19 MPG,2,"V8, Supercharged, 5.0 Liter",RWD,444 @ 6000 RPM,4.3,4.7,N/A
2023 INFINITI QX80,"$74,595",Gas,City 14/Hwy 20/Comb 16 MPG,8,"V8, 5.6 Liter",RWD,400 @ 5800 RPM,3.4,3.5,N/A
2023 INFINITI Q50,"$43,800",Gas,City 20/Hwy 29/Comb 23 MPG,5,"V6, Twin Turbo, 3.0 Liter",RWD,300 @ 6400 RPM,3.7,4.4,5.0
2023 Hyundai Kona N,"$36,285",Gas,City 20/Hwy 27/Comb 23 MPG,5,"4-Cyl, Turbo, GDI, 2.0 Liter",FWD,175 @ 5800 RPM,4.1,4.3,5.0
2023 Hyundai Elantra N,"$34,015",Gas,City 22/Hwy 31/Comb 25 MPG,5,"4-Cyl, Turbo, GDI, 2.0 Liter",FWD,182 @ 5800 RPM,4.0,4.1,N/A
2023 Genesis Electrified G80,"$80,950",Electric,N/A,,N/A,288 HP,5 years or 60000 miles,4.3,N/A,282 Miles
2023 FIAT 500X,"$30,560",Gas,City 24/Hwy 30/Comb 26 MPG,5,"4-Cyl, MultiAir, Turbo, 1.3 Liter",AWD,136 @ 5000 RPM,3.6,4.0,4.0
2023 Dodge Durango,"$84,290",Gas,City 19/Hwy 26/Comb 21 MPG,7,"V6, 3.6 Liter",RWD,293 @ 6400 RPM,3.1,4.4,4.0
2023 Dodge Challenger,"$33,560",Gas,City 19/Hwy 30/Comb 23 MPG,5,"V6, 3.6 Liter",RWD,303 @ 6350 RPM,3.6,3.6,N/A
2023 Dodge Charger,"$35,825",Gas,City 19/Hwy 30/Comb 23 MPG,5,"V6, 3.6 Liter",RWD,203 @ 5000 RPM,3.8,4.1,N/A
2023 Chevrolet Silverado 2500 HD Double Cab,"$45,795",Gas,N/A,6,"V8, 6.6 Liter",2WD,325 @ 5500 RPM,4.3,4.3,4.0
2023 Cadillac XT6,"$49,990",Gas,City 21/Hwy 27/Comb 23 MPG,7,"4-Cyl, Turbo, 2.0 Liter",FWD,235 @ 5000 RPM,2.7,4.0,5.0
2023 Buick Encore GX,"$27,195",Gas,City 29/Hwy 31/Comb 30 MPG,5,"3-Cyl, ECOTEC, Turbo, 1.2 Liter",FWD,137 @ 5000 RPM,3.5,4.0,5.0
2023 Buick Enclave,"$68,909",Gas,City 18/Hwy 26/Comb 21 MPG,7,"V6, 3.6 Liter",FWD,310 @ 6800 RPM,3.8,4.4,4.0
2023 BMW i7,"$120,295",Electric,City 81/Hwy 85/Comb 83 MPGe,,4.5 Seconds,N/A,4 years or 50000 miles,4.4,4.7,350 Miles
2023 Bentley Continental GT,"$238,325",Gas,City 14/Hwy 20/Comb 16 MPG,4,"V8, Twin Turbo, 4.0 Liter",AWD,550 @ 6000 RPM,N/A,3.9,N/A
2023 Audi A4,"$41,270",Gas,City 24/Hwy 33/Comb 28 MPG,5,"4-Cyl, Turbo, 2.0 Liter",AWD,201 HP,4.5,4.5,N/A
2023 Volkswagen Golf GTI,"$31,625",Gas,City 23/Hwy 32/Comb 27 MPG,5,"4-Cyl, Turbo, 2.0 Liter",FWD,150 @ 6000 RPM,3.6,N/A,N/A
