Name,Expert Review,Consumer Review
,4.5,4.3
2024 Hyundai Santa Cruz,4.2,4.4
2024 Honda Passport,4.1,4.4
,4.3,4.8
,3.1,4.7
2024 Dodge Hornet,4.0,4.0
2024 Chrysler Pacifica Hybrid,4.5,3.9
2024 Buick Encore GX,3.6,4.4
2024 Buick Enclave,3.8,4.4
2024 Alfa Romeo Giulia,3.1,4.8
,4.2,3.8
2024 Alfa Romeo Stelvio,3.9,4.8
,3.2,4.3
,3.9,4.1
2024 Volkswagen Atlas,4.0,3.9
2024 Volkswagen Tiguan,4.0,4.4
2024 Volkswagen Atlas Cross Sport,4.1,3.8
,4.1,3.6
,3.9,4.8
2024 Volvo S60,3.9,4.5
,4.1,5.0
,4.3,4.7
,4.4,3.6
,4.5,4.5
,4.2,4.3
,4.4,4.3
,4.4,4.0
,4.5,4.5
,4.6,4.4
,4.6,5.0
,4.6,4.4
,4.6,5.0
,4.6,4.1
,4.6,3.6
,4.6,5.0
2024 BMW X7,4.0,4.5
2024 BMW 8 Series,4.1,4.7
2024 BMW 4 Series,4.1,5.0
,4.2,4.2
2024 BMW Z4,4.3,5.0
,4.4,5.0
,4.4,4.6
,4.4,4.6
,4.4,4.4
,4.4,5.0
,4.6,5.0
,4.7,5.0
,4.7,4.4
2024 Cadillac XT5,3.1,4.2
,3.7,5.0
2024 Cadillac XT4,3.8,4.4
,4.4,2.5
2024 Cadillac Escalade,4.5,4.1
,3.5,4.0
2024 Chevrolet Blazer,3.8,4.3
2024 Chevrolet Equinox,4.0,3.9
,4.1,4.0
,4.2,4.5
2024 Chevrolet Suburban,4.4,4.6
2024 Chevrolet Tahoe,4.6,3.2
,4.5,4.3
2024 Ford Edge,3.5,4.4
2024 Ford Explorer,3.8,3.6
2024 Ford Escape Plug-in Hybrid,4.0,4.0
2024 Ford Escape,4.0,4.0
2024 Ford Bronco,4.2,4.7
2024 Ford Maverick,4.5,4.5
,4.6,5.0
,4.8,4.1
,4.8,4.1
2024 Chevrolet Silverado 3500 HD Crew Cab,4.3,4.4
2024 Chevrolet Silverado 2500 HD Crew Cab,4.3,4.7
2024 Chevrolet Silverado 3500 HD Double Cab,4.3,4.4
2024 Chevrolet Silverado 2500 HD Double Cab,4.3,4.7
2024 Chevrolet Silverado 3500 HD Regular Cab,4.3,4.4
2024 Chevrolet Silverado 2500 HD Regular Cab,4.3,4.7
,4.3,3.9
,4.8,4.2
,4.8,4.5
2024 GMC Terrain,3.9,4.0
,4.7,4.3
,4.7,4.3
2024 GMC Yukon XL,4.5,3.5
2024 GMC Yukon,4.5,3.5
,4.6,3.5
,4.7,3.8
,4.7,3.9
,4.8,4.0
,4.2,4.4
,4.4,4.4
,4.4,4.4
,4.4,4.4
,4.6,4.1
,4.7,4.6
,4.7,4.2
,4.6,4.0
2024 GMC Sierra 3500 HD Crew Cab,4.2,4.3
2024 GMC Sierra 2500 HD Crew Cab,4.2,4.2
2024 GMC Sierra 3500 HD Double Cab,4.2,4.3
2024 GMC Sierra 2500 HD Double Cab,4.2,4.2
2024 GMC Sierra 3500 HD Regular Cab,4.2,4.3
2024 GMC Sierra 2500 HD Regular Cab,4.2,4.2
,4.3,4.0
,4.1,3.6
,4.3,4.3
,4.4,3.0
,4.4,4.6
,4.0,4.6
2024 Subaru Ascent,4.2,4.0
,4.3,4.5
2024 Subaru BRZ,4.4,3.0
,4.6,4.0
,4.6,3.0
,4.4,4.2
,4.4,4.2
2024 Porsche Taycan Sport Turismo,4.2,4.2
2024 Nissan Murano,3.7,4.6
,3.1,4.1
,3.3,4.6
,4.0,4.2
,4.1,3.6
,4.1,3.6
,4.4,4.5
,4.5,4.5
,3.8,4.5
2024 MINI Hardtop 4 Door,3.3,4.6
2024 Mercedes-Benz GLS,4.1,4.9
,4.3,4.1
,4.4,3.7
,4.5,5.0
,4.6,3.0
,3.4,3.8
2024 MINI Countryman,3.4,4.2
,3.1,4.4
2024 Mitsubishi Eclipse Cross,3.3,4.2
2024 Mitsubishi Outlander,3.6,4.0
2024 Mitsubishi Outlander Sport,3.7,3.3
2024 Mitsubishi Outlander PHEV,4.2,4.0
,3.9,4.2
2024 Nissan Pathfinder,4.1,3.9
,4.1,4.0
,4.1,4.0
,4.2,4.3
,4.2,4.0
,4.2,4.0
2024 Porsche Taycan Cross Turismo,4.2,4.2
2024 Porsche Macan,4.2,4.7
,4.7,5.0
,4.7,3.9
,4.7,5.0
2024 MINI Hardtop 2 Door,3.3,4.6
,4.6,3.6
,4.6,3.6
,4.6,3.9
,4.0,3.5
,4.0,4.6
,4.0,4.3
,4.0,4.3
,4.6,3.6
,4.6,3.9
,4.7,4.1
2024 Ram 2500 Mega Cab,4.5,4.3
2024 Ram 2500 Crew Cab,4.5,4.3
2024 Ram 2500 Regular Cab,4.5,4.3
,4.5,4.4
,4.6,3.9
2024 Lincoln Corsair,4.1,4.2
,4.6,3.9
,4.8,4.1
2024 Lexus RC,4.0,4.6
,4.0,4.3
2024 Lexus LS,4.3,4.5
2024 Lexus LC,4.4,4.9
,4.4,4.3
,4.5,4.6
,4.7,5.0
2024 Land Rover Defender 110,4.0,4.2
2024 Land Rover Discovery,2.9,4.3
,3.2,3.4
,4.2,4.7
,4.4,4.3
2024 Jeep Compass,3.9,3.4
2024 Jaguar XF,3.6,4.8
2024 Jaguar I-PACE,3.8,4.6
,3.9,4.4
2024 Jaguar F-TYPE,4.3,4.7
2024 Jaguar F-PACE,4.3,4.6
2024 Jeep Wrangler 4xe,4.0,4.4
,4.0,4.4
2024 Jeep Wrangler 2 Door,4.0,4.4
2024 INFINITI QX80,3.4,4.1
2024 INFINITI QX55,4.0,3.7
2024 INFINITI QX60,4.0,5.0
,4.3,3.6
,4.3,3.6
2024 Jeep Grand Cherokee 4xe,4.3,3.3
2024 Jeep Grand Cherokee,4.3,3.3
,4.4,3.5
2024 INFINITI QX50,4.0,4.1
,4.6,3.5
,4.6,3.5
,4.4,4.5
,4.5,4.6
,4.5,4.3
,4.6,4.7
,4.8,4.1
,4.8,4.1
2024 Land Rover Range Rover Velar,3.6,4.1
2024 Land Rover Discovery Sport,3.7,3.9
